"h24_30vD and h24_45vD","h8_45vD and h24_45vD","h8_30vD and h24_45vD","h24_45vD and h24_30vD","h8_45vD and h24_30vD","h8_30vD and h24_30vD","h24_45vD and h8_45vD","h24_30vD and h8_45vD","h8_30vD and h8_45vD","h24_45vD and h8_30vD","h24_30vD and h8_30vD","h8_45vD and h8_30vD","h24_45vD","h24_30vD and not h24_45vD","h8_45vD and not h24_45vD","h8_30vD and not h24_45vD","h24_45vD and not h24_30vD","h24_30vD","h8_45vD and not h24_30vD","h8_30vD and not h24_30vD","h24_45vD and not h8_45vD","h24_30vD and not h8_45vD","h8_45vD","h8_30vD and not h8_45vD","h24_45vD and not h8_30vD","h24_30vD and not h8_30vD","h8_45vD and not h8_30vD","h8_30vD"
"793","GRPEL2","HIST1H2BG","","GTF3C1","","HNRNPA3","","","","","","","","","","","","","","","","","","","","","",""
"794","GSS","HIST1H2BJ","","GTF3C2","","HNRNPC","","","","","","","","","","","","","","","","","","","","","",""
"795","GSTO1","HIST1H2BK","","GTPBP2","","HNRNPD","","","","","","","","","","","","","","","","","","","","","",""
"796","GTF2E1","HJURP","","GTSE1","","HNRNPF","","","","","","","","","","","","","","","","","","","","","",""
"797","GTF2I","HKDC1","","GUCY1B3","","HNRNPH1","","","","","","","","","","","","","","","","","","","","","",""
"798","GTF3C1","HKR1","","H2AFV","","HNRNPH2","","","","","","","","","","","","","","","","","","","","","",""
"799","GTF3C2","HLA-B","","H2AFX","","HNRNPK","","","","","","","","","","","","","","","","","","","","","",""
"800","GTPBP2","HLA-C","","H2AFZ","","HNRNPL","","","","","","","","","","","","","","","","","","","","","",""
"801","GTSE1","HMBOX1","","H3F3A","","HNRNPM","","","","","","","","","","","","","","","","","","","","","",""
"802","GUCY1B3","HMCN1","","HADH","","HNRNPR","","","","","","","","","","","","","","","","","","","","","",""
"803","H2AFV","HMGA1","","HAS3","","HNRPDL","","","","","","","","","","","","","","","","","","","","","",""
"804","H2AFX","HMGB1","","HAUS1","","HOXA5","","","","","","","","","","","","","","","","","","","","","",""
"805","H2AFZ","HMGB2","","HAUS8","","HOXB9","","","","","","","","","","","","","","","","","","","","","",""
"806","H3F3A","HMGB3","","HAX1","","HOXD8","","","","","","","","","","","","","","","","","","","","","",""
"807","HADH","HMGCR","","HCFC1R1","","HPRT1","","","","","","","","","","","","","","","","","","","","","",""
"808","HAS3","HMGCS1","","HCK","","HPS6","","","","","","","","","","","","","","","","","","","","","",""
"809","HAUS1","HMGN1","","HDAC1","","HPSE","","","","","","","","","","","","","","","","","","","","","",""
"810","HAUS8","HMGN3","","HEBP2","","HRK","","","","","","","","","","","","","","","","","","","","","",""
"811","HAX1","HMGN5","","HELLS","","HS6ST1","","","","","","","","","","","","","","","","","","","","","",""
"812","HCFC1R1","HMMR","","HERC1","","HSBP1","","","","","","","","","","","","","","","","","","","","","",""
"813","HCK","HN1","","HERPUD1","","HSD17B4","","","","","","","","","","","","","","","","","","","","","",""
"814","HDAC1","HNRNPA1","","HES6","","HSF1","","","","","","","","","","","","","","","","","","","","","",""
"815","HEBP2","HNRNPA2B1","","HEXIM1","","HSP90AA1","","","","","","","","","","","","","","","","","","","","","",""
"816","HELLS","HNRNPA3","","HEY2","","HSP90AB1","","","","","","","","","","","","","","","","","","","","","",""
"817","HERC1","HNRNPC","","HIAT1","","HSP90B1","","","","","","","","","","","","","","","","","","","","","",""
"818","HERPUD1","HNRNPD","","HIBCH","","HSPA13","","","","","","","","","","","","","","","","","","","","","",""
"819","HES6","HNRNPF","","HIGD1A","","HSPA1A","","","","","","","","","","","","","","","","","","","","","",""
"820","HEXIM1","HNRNPH1","","HIST1H2AE","","HSPA1B","","","","","","","","","","","","","","","","","","","","","",""
"821","HEY2","HNRNPH2","","HIST1H2BG","","HSPA2","","","","","","","","","","","","","","","","","","","","","",""
"822","HIAT1","HNRNPK","","HIST1H2BJ","","HSPA4","","","","","","","","","","","","","","","","","","","","","",""
"823","HIBCH","HNRNPL","","HIST1H2BK","","HSPA9","","","","","","","","","","","","","","","","","","","","","",""
"824","HIGD1A","HNRNPM","","HJURP","","HSPB1","","","","","","","","","","","","","","","","","","","","","",""
"825","HIST1H2AE","HNRNPR","","HKDC1","","HSPB11","","","","","","","","","","","","","","","","","","","","","",""
"826","HIST1H2BG","HNRPDL","","HKR1","","HSPBAP1","","","","","","","","","","","","","","","","","","","","","",""
"827","HIST1H2BJ","HOXA5","","HLA-B","","HSPE1","","","","","","","","","","","","","","","","","","","","","",""
"828","HIST1H2BK","HOXB9","","HLA-C","","HSPH1","","","","","","","","","","","","","","","","","","","","","",""
"829","HJURP","HOXD8","","HMBOX1","","HTATSF1","","","","","","","","","","","","","","","","","","","","","",""
"830","HKDC1","HPRT1","","HMCN1","","HUNK","","","","","","","","","","","","","","","","","","","","","",""
"831","HKR1","HPS6","","HMGA1","","HYAL2","","","","","","","","","","","","","","","","","","","","","",""
"832","HLA-B","HPSE","","HMGB1","","HYOU1","","","","","","","","","","","","","","","","","","","","","",""
"833","HLA-C","HRK","","HMGB2","","IARS","","","","","","","","","","","","","","","","","","","","","",""
"834","HMBOX1","HS6ST1","","HMGB3","","IARS2","","","","","","","","","","","","","","","","","","","","","",""
"835","HMCN1","HSBP1","","HMGCR","","ICA1","","","","","","","","","","","","","","","","","","","","","",""
"836","HMGA1","HSD17B4","","HMGCS1","","ICT1","","","","","","","","","","","","","","","","","","","","","",""
"837","HMGB1","HSF1","","HMGN1","","ID4","","","","","","","","","","","","","","","","","","","","","",""
"838","HMGB2","HSP90AA1","","HMGN3","","IDE","","","","","","","","","","","","","","","","","","","","","",""
"839","HMGB3","HSP90AB1","","HMGN5","","IDI1","","","","","","","","","","","","","","","","","","","","","",""
"840","HMGCR","HSP90B1","","HMMR","","IER3","","","","","","","","","","","","","","","","","","","","","",""
"841","HMGCS1","HSPA13","","HN1","","IFIT1","","","","","","","","","","","","","","","","","","","","","",""
"842","HMGN1","HSPA1A","","HNRNPA1","","IFNAR1","","","","","","","","","","","","","","","","","","","","","",""
"843","HMGN3","HSPA1B","","HNRNPA2B1","","IGDCC3","","","","","","","","","","","","","","","","","","","","","",""
"844","HMGN5","HSPA2","","HNRNPA3","","IGF2BP3","","","","","","","","","","","","","","","","","","","","","",""
"845","HMMR","HSPA4","","HNRNPC","","IGFBP3","","","","","","","","","","","","","","","","","","","","","",""
"846","HN1","HSPA8","","HNRNPD","","IGFBP4","","","","","","","","","","","","","","","","","","","","","",""
"847","HNRNPA1","HSPA9","","HNRNPF","","IGFBP5","","","","","","","","","","","","","","","","","","","","","",""
"848","HNRNPA2B1","HSPB1","","HNRNPH1","","IK","","","","","","","","","","","","","","","","","","","","","",""
"849","HNRNPA3","HSPB11","","HNRNPH2","","IKZF2","","","","","","","","","","","","","","","","","","","","","",""
"850","HNRNPC","HSPBAP1","","HNRNPK","","IL18R1","","","","","","","","","","","","","","","","","","","","","",""
"851","HNRNPD","HSPE1","","HNRNPL","","IL20RA","","","","","","","","","","","","","","","","","","","","","",""
"852","HNRNPF","HSPH1","","HNRNPM","","IL4R","","","","","","","","","","","","","","","","","","","","","",""
"853","HNRNPH1","HTATSF1","","HNRNPR","","ILF2","","","","","","","","","","","","","","","","","","","","","",""
"854","HNRNPH2","HUNK","","HNRPDL","","ILVBL","","","","","","","","","","","","","","","","","","","","","",""
"855","HNRNPK","HYAL2","","HOXA5","","IMPACT","","","","","","","","","","","","","","","","","","","","","",""
"856","HNRNPL","HYOU1","","HOXB9","","INCENP","","","","","","","","","","","","","","","","","","","","","",""
"857","HNRNPM","IARS","","HOXD8","","INSC","","","","","","","","","","","","","","","","","","","","","",""
"858","HNRNPR","IARS2","","HPRT1","","INSIG1","","","","","","","","","","","","","","","","","","","","","",""
"859","HNRPDL","ICA1","","HPS6","","INTS10","","","","","","","","","","","","","","","","","","","","","",""
"860","HOXA5","ICT1","","HPSE","","INTS3","","","","","","","","","","","","","","","","","","","","","",""
"861","HOXB9","ID4","","HRK","","INTS8","","","","","","","","","","","","","","","","","","","","","",""
"862","HOXD8","IDE","","HS6ST1","","IQCB1","","","","","","","","","","","","","","","","","","","","","",""
"863","HPRT1","IDI1","","HSBP1","","IQSEC1","","","","","","","","","","","","","","","","","","","","","",""
"864","HPS6","IER3","","HSD17B4","","IRF2BP2","","","","","","","","","","","","","","","","","","","","","",""
"865","HPSE","IFIT1","","HSF1","","IRF7","","","","","","","","","","","","","","","","","","","","","",""
"866","HRK","IFNAR1","","HSP90AA1","","ISCU","","","","","","","","","","","","","","","","","","","","","",""
"867","HS6ST1","IGDCC3","","HSP90AB1","","ITCH","","","","","","","","","","","","","","","","","","","","","",""
"868","HSBP1","IGF2BP3","","HSP90B1","","ITPKA","","","","","","","","","","","","","","","","","","","","","",""
"869","HSD17B4","IGFBP3","","HSPA13","","ITPR1","","","","","","","","","","","","","","","","","","","","","",""
"870","HSF1","IGFBP4","","HSPA1A","","ITPR3","","","","","","","","","","","","","","","","","","","","","",""
"871","HSP90AA1","IGFBP5","","HSPA1B","","ITSN1","","","","","","","","","","","","","","","","","","","","","",""
"872","HSP90AB1","IKZF2","","HSPA2","","JAK1","","","","","","","","","","","","","","","","","","","","","",""
"873","HSP90B1","IL20RA","","HSPA4","","JHDM1D","","","","","","","","","","","","","","","","","","","","","",""
"874","HSPA13","IL4R","","HSPA8","","JMJD6","","","","","","","","","","","","","","","","","","","","","",""
"875","HSPA1A","ILF2","","HSPA9","","JMJD7","","","","","","","","","","","","","","","","","","","","","",""
"876","HSPA1B","ILVBL","","HSPB1","","JMY","","","","","","","","","","","","","","","","","","","","","",""
"877","HSPA2","IMPACT","","HSPB11","","JUN","","","","","","","","","","","","","","","","","","","","","",""
"878","HSPA4","INCENP","","HSPBAP1","","JUNB","","","","","","","","","","","","","","","","","","","","","",""
"879","HSPA8","INSC","","HSPE1","","KAL1","","","","","","","","","","","","","","","","","","","","","",""
"880","HSPA9","INSIG1","","HSPH1","","KALRN","","","","","","","","","","","","","","","","","","","","","",""
"881","HSPB1","INTS10","","HTATSF1","","KANSL2","","","","","","","","","","","","","","","","","","","","","",""
"882","HSPB11","INTS3","","HUNK","","KCMF1","","","","","","","","","","","","","","","","","","","","","",""
"883","HSPBAP1","INTS8","","HYAL2","","KCNJ14","","","","","","","","","","","","","","","","","","","","","",""
"884","HSPE1","IQCB1","","HYOU1","","KCNK2","","","","","","","","","","","","","","","","","","","","","",""
"885","HSPH1","IQSEC1","","IARS","","KCTD13","","","","","","","","","","","","","","","","","","","","","",""
"886","HTATSF1","IRF2BP2","","IARS2","","KCTD15","","","","","","","","","","","","","","","","","","","","","",""
"887","HUNK","IRF7","","ICA1","","KDELR2","","","","","","","","","","","","","","","","","","","","","",""
"888","HYAL2","ISCU","","ICT1","","KDM1A","","","","","","","","","","","","","","","","","","","","","",""
"889","HYOU1","ITCH","","ID4","","KDM5C","","","","","","","","","","","","","","","","","","","","","",""
"890","IARS","ITPKA","","IDE","","KDSR","","","","","","","","","","","","","","","","","","","","","",""
"891","IARS2","ITPR1","","IDI1","","KHDRBS1","","","","","","","","","","","","","","","","","","","","","",""
"892","ICA1","ITPR3","","IER3","","KIAA0101","","","","","","","","","","","","","","","","","","","","","",""
"893","ICT1","ITSN1","","IFIT1","","KIAA0226L","","","","","","","","","","","","","","","","","","","","","",""
"894","ID4","JAK1","","IFNAR1","","KIAA0240","","","","","","","","","","","","","","","","","","","","","",""
"895","IDE","JHDM1D","","IFRD1","","KIAA0284","","","","","","","","","","","","","","","","","","","","","",""
"896","IDI1","JMJD6","","IGDCC3","","KIAA0317","","","","","","","","","","","","","","","","","","","","","",""
"897","IER3","JMJD7","","IGF2BP3","","KIAA0368","","","","","","","","","","","","","","","","","","","","","",""
"898","IFIT1","JMY","","IGFBP3","","KIAA0391","","","","","","","","","","","","","","","","","","","","","",""
"899","IFNAR1","JUN","","IGFBP4","","KIAA0430","","","","","","","","","","","","","","","","","","","","","",""
"900","IFRD1","JUNB","","IGFBP5","","KIAA1244","","","","","","","","","","","","","","","","","","","","","",""
"901","IGDCC3","KAL1","","IK","","KIAA1279","","","","","","","","","","","","","","","","","","","","","",""
"902","IGF2BP3","KALRN","","IKZF2","","KIAA1430","","","","","","","","","","","","","","","","","","","","","",""
"903","IGFBP3","KANSL2","","IL18R1","","KIAA1524","","","","","","","","","","","","","","","","","","","","","",""
"904","IGFBP4","KBTBD4","","IL20RA","","KIAA1967","","","","","","","","","","","","","","","","","","","","","",""
"905","IGFBP5","KCMF1","","IL4R","","KIF11","","","","","","","","","","","","","","","","","","","","","",""
"906","IK","KCNJ14","","ILF2","","KIF13A","","","","","","","","","","","","","","","","","","","","","",""
"907","IKZF2","KCNK2","","ILVBL","","KIF14","","","","","","","","","","","","","","","","","","","","","",""
"908","IL18R1","KCTD13","","IMPACT","","KIF18A","","","","","","","","","","","","","","","","","","","","","",""
"909","IL20RA","KCTD15","","INCENP","","KIF18B","","","","","","","","","","","","","","","","","","","","","",""
"910","IL4R","KDELR2","","INHBE","","KIF1A","","","","","","","","","","","","","","","","","","","","","",""
"911","ILF2","KDM1A","","INSC","","KIF20A","","","","","","","","","","","","","","","","","","","","","",""
"912","ILVBL","KDM4A","","INSIG1","","KIF20B","","","","","","","","","","","","","","","","","","","","","",""
"913","IMPACT","KDM5C","","INTS10","","KIF22","","","","","","","","","","","","","","","","","","","","","",""
"914","INCENP","KDSR","","INTS3","","KIF23","","","","","","","","","","","","","","","","","","","","","",""
"915","INHBE","KHDRBS1","","INTS8","","KIF26B","","","","","","","","","","","","","","","","","","","","","",""
"916","INSC","KIAA0101","","IQCB1","","KIF2C","","","","","","","","","","","","","","","","","","","","","",""
"917","INSIG1","KIAA0226L","","IQSEC1","","KIF4A","","","","","","","","","","","","","","","","","","","","","",""
"918","INTS10","KIAA0240","","IRF2BP2","","KIFC1","","","","","","","","","","","","","","","","","","","","","",""
"919","INTS3","KIAA0284","","IRF7","","KIT","","","","","","","","","","","","","","","","","","","","","",""
"920","INTS8","KIAA0317","","ISCU","","KLC2","","","","","","","","","","","","","","","","","","","","","",""
"921","IQCB1","KIAA0368","","ITCH","","KLC3","","","","","","","","","","","","","","","","","","","","","",""
"922","IQSEC1","KIAA0391","","ITPKA","","KLF11","","","","","","","","","","","","","","","","","","","","","",""
"923","IRF2BP2","KIAA0430","","ITPR1","","KLF13","","","","","","","","","","","","","","","","","","","","","",""
"924","IRF7","KIAA1244","","ITPR3","","KLF2","","","","","","","","","","","","","","","","","","","","","",""
"925","ISCU","KIAA1279","","ITSN1","","KLHDC7B","","","","","","","","","","","","","","","","","","","","","",""
"926","ITCH","KIAA1430","","JAK1","","KLHDC8A","","","","","","","","","","","","","","","","","","","","","",""
"927","ITPKA","KIAA1524","","JHDM1D","","KLHL13","","","","","","","","","","","","","","","","","","","","","",""
"928","ITPR1","KIAA1967","","JMJD6","","KLHL14","","","","","","","","","","","","","","","","","","","","","",""
"929","ITPR3","KIF11","","JMJD7","","KLHL35","","","","","","","","","","","","","","","","","","","","","",""
"930","ITSN1","KIF13A","","JMY","","KLHL5","","","","","","","","","","","","","","","","","","","","","",""
"931","JAK1","KIF14","","JUN","","KPNA2","","","","","","","","","","","","","","","","","","","","","",""
"932","JHDM1D","KIF18A","","JUNB","","KPNA3","","","","","","","","","","","","","","","","","","","","","",""
