"h24_30vD and h24_45vD","h8_45vD and h24_45vD","h8_30vD and h24_45vD","h24_45vD and h24_30vD","h8_45vD and h24_30vD","h8_30vD and h24_30vD","h24_45vD and h8_45vD","h24_30vD and h8_45vD","h8_30vD and h8_45vD","h24_45vD and h8_30vD","h24_30vD and h8_30vD","h8_45vD and h8_30vD","h24_45vD","h24_30vD and not h24_45vD","h8_45vD and not h24_45vD","h8_30vD and not h24_45vD","h24_45vD and not h24_30vD","h24_30vD","h8_45vD and not h24_30vD","h8_30vD and not h24_30vD","h24_45vD and not h8_45vD","h24_30vD and not h8_45vD","h8_45vD","h8_30vD and not h8_45vD","h24_45vD and not h8_30vD","h24_30vD and not h8_30vD","h8_45vD and not h8_30vD","h8_30vD"
"89","AP3M2","APAF1","VEGFA","AP4M1","","AQR","PPP1R15A","UPP1","","VEGFA","","","","","PGPEP1","","","","PPP1R15A","PSPH","","","","","","","",""
"90","AP4M1","APBA3","WARS","AP5M1","","AREG","PRPF40B","VEGFA","","WARS","","","","","PHGDH","","","","PRPF40B","PYCR1","","","","","","","",""
"91","AP5M1","APEX1","YARS","APAF1","","ARF3","PSPH","WARS","","YARS","","","","","PKN1","","","","PSPH","PYCR2","","","","","","","",""
"92","APAF1","API5","ZFAND1","APBA3","","ARF6","PYCR1","YARS","","ZFAND1","","","","","PMAIP1","","","","PYCR1","QRICH1","","","","","","","",""
"93","APBA3","APLN","ZFP36L1","APEX1","","ARG2","PYCR2","ZFAND1","","ZFP36L1","","","","","PPHLN1","","","","PYCR2","R3HDM2","","","","","","","",""
"94","APEX1","APOPT1","ZNF207","API5","","ARHGAP11A","QRICH1","ZFP36L1","","ZNF207","","","","","PPP1R15A","","","","QRICH1","RAD23A","","","","","","","",""
"95","API5","AQP11","","APLN","","ARHGAP19","R3HDM2","ZNF207","","","","","","","PRPF40B","","","","R3HDM2","RBBP8","","","","","","","",""
"96","APLN","AQR","","APOPT1","","ARHGEF17","RAD23A","","","","","","","","PSPH","","","","RAD23A","RHBDD1","","","","","","","",""
"97","APOPT1","AREG","","AQP11","","ARHGEF37","RBBP8","","","","","","","","PYCR1","","","","RBBP8","RNF41","","","","","","","",""
"98","AQP11","ARF3","","AQR","","ARHGEF40","RHBDD1","","","","","","","","PYCR2","","","","RHBDD1","SAR1A","","","","","","","",""
"99","AQR","ARF6","","AREG","","ARIH1","RNF41","","","","","","","","QRICH1","","","","RNF41","SARS","","","","","","","",""
"100","AREG","ARG2","","ARF3","","ARIH2","SAR1A","","","","","","","","R3HDM2","","","","SAR1A","SCN4A","","","","","","","",""
"101","ARF3","ARHGAP11A","","ARF6","","ARL1","SARS","","","","","","","","RAD23A","","","","SARS","SESN2","","","","","","","",""
"102","ARF6","ARHGAP19","","ARG2","","ARL6IP1","SCN4A","","","","","","","","RBBP8","","","","SCN4A","SFPQ","","","","","","","",""
"103","ARG2","ARHGEF17","","ARHGAP11A","","ARMC10","SESN2","","","","","","","","RHBDD1","","","","SESN2","SGPL1","","","","","","","",""
"104","ARHGAP11A","ARHGEF2","","ARHGAP19","","ARMC8","SFPQ","","","","","","","","RNF41","","","","SFPQ","SHMT2","","","","","","","",""
"105","ARHGAP19","ARHGEF37","","ARHGEF17","","ARNTL","SGPL1","","","","","","","","SAR1A","","","","SGPL1","SKP2","","","","","","","",""
"106","ARHGEF17","ARHGEF40","","ARHGEF2","","ARNTL2","SHMT2","","","","","","","","SARS","","","","SHMT2","SLC16A5","","","","","","","",""
"107","ARHGEF2","ARIH1","","ARHGEF37","","ARPC5","SKP2","","","","","","","","SCN4A","","","","SKP2","SLC1A4","","","","","","","",""
"108","ARHGEF37","ARIH2","","ARHGEF40","","ARRB1","SLC16A5","","","","","","","","SESN2","","","","SLC16A5","SLC1A5","","","","","","","",""
"109","ARHGEF40","ARL1","","ARIH1","","ARSB","SLC1A4","","","","","","","","SFPQ","","","","SLC1A4","SLC3A2","","","","","","","",""
"110","ARIH1","ARL6IP1","","ARIH2","","ARVCF","SLC1A5","","","","","","","","SGPL1","","","","SLC1A5","SLC4A5","","","","","","","",""
"111","ARIH2","ARMC10","","ARL1","","ASAP1","SLC3A2","","","","","","","","SHMT2","","","","SLC3A2","SLC6A9","","","","","","","",""
"112","ARL1","ARMC8","","ARL6IP1","","ASB9","SLC4A5","","","","","","","","SKP2","","","","SLC4A5","SLC7A1","","","","","","","",""
"113","ARL6IP1","ARNTL","","ARMC10","","ASF1B","SLC6A9","","","","","","","","SLC16A5","","","","SLC6A9","SLC7A5","","","","","","","",""
"114","ARMC10","ARNTL2","","ARMC8","","ASMTL","SLC7A1","","","","","","","","SLC1A4","","","","SLC7A1","SON","","","","","","","",""
"115","ARMC8","ARPC5","","ARNTL","","ASPM","SLC7A11","","","","","","","","SLC1A5","","","","SLC7A11","SRRT","","","","","","","",""
"116","ARNTL","ARRB1","","ARNTL2","","ASS1","SLC7A5","","","","","","","","SLC3A2","","","","SLC7A5","STC2","","","","","","","",""
"117","ARNTL2","ARSB","","ARPC5","","ATAD1","SON","","","","","","","","SLC4A5","","","","SON","TARDBP","","","","","","","",""
"118","ARPC5","ARVCF","","ARRB1","","ATAD2","SRRT","","","","","","","","SLC6A9","","","","SRRT","TARS","","","","","","","",""
"119","ARRB1","ASAP1","","ARSB","","ATF3","STC2","","","","","","","","SLC7A1","","","","STC2","TIMM44","","","","","","","",""
"120","ARSB","ASB9","","ARVCF","","ATP11C","TARDBP","","","","","","","","SLC7A11","","","","TARDBP","TOX2","","","","","","","",""
"121","ARVCF","ASF1B","","ASAP1","","ATP13A2","TARS","","","","","","","","SLC7A5","","","","TARS","TRIB3","","","","","","","",""
