"gene" "h24_45vD_log2FoldChange" "h24_45vD_padj" "h24_45v30_log2FoldChange" "h24_45v30_padj" "h24_30vD_log2FoldChange" "h24_30vD_padj" "h8_45vD_log2FoldChange" "h8_45vD_padj" "h8_45v30_log2FoldChange" "h8_45v30_padj" "h8_30vD_log2FoldChange" "h8_30vD_padj"
"ZFAND1" 0.946460591814348 5.95675373224731e-21 0.425435108987399 0.0013688640256031 0.521025482826949 6.4389912191476e-05 0.464504526217761 0.000680460588747171 0.262802665479819 2.47458115417452 0.201701860737942 5.99931127345856
"SLC7A5" 1.66214684391366 7.02972643262058e-21 0.726357962405735 0.00256762715476527 0.93578888150793 2.22191230280938e-05 0.891293179982644 6.12583402971243e-05 0.490568986748511 1.80798582018435 0.400724193234133 5.99931127345856
"TRIM16L" 1.09769182397539 7.23485562713382e-21 0.314262921716725 0.205668878477287 0.783428902258666 1.07267458588321e-08 0.252074428539813 1.31527404817449 0.127945385350432 5.99937842076246 0.124129043189381 5.99931127345856
"BRSK1" 1.03228275084012 8.19530223065446e-21 0.612813548432084 1.81755200577309e-06 0.419469202408032 0.0406740558221303 0.38596566993622 0.0848826499713213 0.0675111964890989 NA 0.318454473447121 3.57332751679826
"GPSM1" 0.835537159336981 9.20846478068608e-21 0.562567046317001 3.08507958230243e-08 0.27297011301998 0.281991883835312 0.268652215705849 0.226045280597627 0.136876081291515 5.99937842076246 0.131776134414335 5.99931127345856
"LONP1" 1.08342161472255 1.02722196931206e-20 0.386776638381062 0.0377463976423899 0.696644976341488 4.948474916311e-07 0.612756300595617 1.85219084994746e-05 0.289288928824444 2.82175226645435 0.323467371771173 3.34953045379356
"EID1" -0.79973333593943 1.79949328736069e-20 -0.461510760870323 1.1810400796241e-05 -0.338222575069107 0.0131539302729857 -0.21712983890179 0.595328067199896 -0.172947000998742 4.77399913854786 -0.0441828379030476 5.99931127345856
"IK" -0.539521372416642 1.83222735167176e-20 -0.280675676248422 0.000185084818423883 -0.258845696168221 0.00137483051246762 -0.204756808667361 0.0437410206391952 -0.0753164334687792 5.99937842076246 -0.129440375198582 5.99931127345856
"TGFBR2" -0.854166219962208 3.16624274314497e-20 -0.521000493954101 2.10278453520721e-06 -0.333165726008107 0.0431768166736654 -0.273558664148831 0.209673930189426 -0.0986209524235036 5.99937842076246 -0.174937711725327 5.99931127345856
"SLC22A15" 1.70474514740322 3.25415560983368e-20 1.17356247105527 1.56855454022034e-08 0.531182676347951 0.450742197223236 0.340711672152961 2.10169262371885 0.122307010720442 NA 0.218404661432519 5.99931127345856
"STARD13" -1.22712432402853 3.25415560983368e-20 -0.915129184499658 2.69397229474482e-09 -0.311995139528876 0.794797145995926 -0.302987528563254 0.716075252011622 -0.181506466304265 NA -0.121481062258989 5.99931127345856
"KIF21B" 2.64088865138901 3.56008606724908e-20 0.977541695396419 0.0160658773996074 1.66334695599259 2.09400588842265e-06 1.93695413656832 2.21506127209111e-07 0.990289915596909 NA 0.946664220971406 3.23775473901737
"CCNB1" -1.28063614091051 5.46867996468525e-20 -0.85352801697831 1.04415229529715e-07 -0.427108123932199 0.219078687617723 -0.300633024155403 1.17699471920096 -0.147183423237397 5.99937842076246 -0.153449600918006 5.99931127345856
"BUB1" -1.22033870045862 1.03412513411079e-19 -0.806795406333775 2.02097969670438e-07 -0.413543294124847 0.191405126549665 -0.35624977285762 0.443480033873766 -0.187039406911662 5.99937842076246 -0.169210365945958 5.99931127345856
"DHX9" -0.847739018216983 1.06290416222845e-19 -0.615151457830054 5.41008821159347e-09 -0.232587560386929 0.767268860418779 -0.263309906288057 0.312381802980667 -0.159759119413771 5.99937842076246 -0.103550786874285 5.99931127345856
"LGR4" -0.990763106513438 2.66768264764414e-19 -0.697746216674658 3.08507958230243e-08 -0.29301688983878 0.528016460292539 -0.514944584097275 0.000373582066532624 -0.351260886939731 0.776254604061347 -0.163683697157544 5.99931127345856
"FTH1" 0.946528728634727 6.57530720372141e-19 0.363263157569506 0.028729455294567 0.583265571065221 6.0385155770345e-06 0.26678518928258 0.622907974918805 0.132159385717476 5.99937842076246 0.134625803565104 5.99931127345856
