"gene" "h24_45vD_log2FoldChange" "h24_45vD_padj" "h24_45v30_log2FoldChange" "h24_45v30_padj" "h24_30vD_log2FoldChange" "h24_30vD_padj" "h8_45vD_log2FoldChange" "h8_45vD_padj" "h8_45v30_log2FoldChange" "h8_45v30_padj" "h8_30vD_log2FoldChange" "h8_30vD_padj"
"SLC7A1" 1.01852898796063 2.23260723574622e-15 NA NA 0.637678170372281 7.91963652123818e-05 0.932308933868338 8.21659794664103e-12 NA NA NA NA
"GABRA2" -1.7065306003913 3.20144863931905e-15 -0.937841055189715 0.000930521823228069 NA NA NA NA NA NA NA NA
"C10orf47" 1.36975768843337 3.20467801167685e-15 0.757174679852998 0.000599222071555034 NA NA 0.77425552140714 0.000706998593775719 NA NA NA NA
"RAD23A" 0.430603623997467 5.49920437774034e-15 0.253053649125998 0.000271282453140631 NA NA 0.236173754805449 0.00276906565220115 NA NA NA NA
"DDX23" -0.645445029705878 7.69307268987625e-15 -0.389085783921101 0.000184451967760633 NA NA NA NA NA NA NA NA
"SARS" 1.09184895587308 8.60377406301424e-15 NA NA 0.73577662344035 1.70161292091556e-05 0.75044870234778 7.58903041811001e-06 NA NA NA NA
"PSMC2" -0.564479417206235 1.05262201648233e-14 -0.351862272418857 9.89149563257014e-05 NA NA NA NA NA NA NA NA
"SHMT2" 0.936227142251117 1.07834949354064e-14 NA NA 0.607542120514045 5.57790058979351e-05 0.656388608215742 4.59172424255808e-06 NA NA NA NA
"SPOCK1" 0.814947662972679 1.12087831803386e-14 NA NA 0.554587766719008 1.76413751730659e-05 NA NA NA NA NA NA
"VCP" -0.606264736869198 1.43850613832856e-14 -0.410633964859033 1.05512090616542e-05 NA NA NA NA NA NA NA NA
"DEPDC1B" -0.794578914320626 1.57670598035924e-14 -0.590536340708568 8.38206969105765e-07 NA NA NA NA NA NA NA NA
"UBAP2L" -0.569420252595231 1.59718299746176e-14 -0.381171393651857 1.80464740883519e-05 NA NA -0.315983107543365 0.00167525897461833 NA NA NA NA
"MTHFD2" 1.2542028607027 1.59718299746176e-14 NA NA 0.777249847121897 0.000209205341630547 1.02414607950645 1.36459363920627e-08 NA NA NA NA
"TMEM14A" -0.845869712289262 2.2207184777249e-14 -0.538717226543944 0.000115534037577576 NA NA NA NA NA NA NA NA
"ASNS" 2.48101216508287 2.71448377317527e-14 NA NA 1.47674897700025 0.000651999121877336 1.53725143063114 0.000191466041977754 NA NA NA NA
"GARS" 1.19046166374994 3.21835499669086e-14 NA NA 0.82104944241649 1.51861262232379e-05 1.09002572152466 5.98119998462173e-11 NA NA NA NA
"CDC20" -0.999730300641669 4.3374250026465e-14 -0.654036990335492 4.40171625587565e-05 NA NA NA NA NA NA NA NA
"SCLY" 0.81957546355865 4.3374250026465e-14 NA NA 0.461885155133452 0.00317692145547174 NA NA NA NA NA NA
"SNX24" 0.687511575963883 4.48219991427476e-14 0.415123734926582 0.000269384655174295 NA NA NA NA NA NA NA NA
"SESN2" 2.15912397864842 4.48219991427476e-14 NA NA 1.32923533514988 0.000374783741112888 1.99125865709669 5.98119998462173e-11 NA NA NA NA
"TUBE1" 1.26908881585504 4.92428296956005e-14 NA NA 0.924735800666109 4.65306309999624e-06 1.43479487371855 3.93852107468648e-15 NA NA 0.885295241912799 0.00147784676961191
"ABCA12" 2.34276591665632 5.29175931924668e-14 1.12258989148478 0.00553352722005973 NA NA NA NA NA NA NA NA
"SFPQ" -0.702499822425868 5.46114795714778e-14 NA NA -0.421274341862094 0.000675490387319153 -0.404939109400853 0.00117027629700811 NA NA NA NA
"INSIG1" -1.70451226545475 5.53537660121565e-14 -1.33676395344378 1.69376099692644e-07 NA NA NA NA NA NA NA NA
"SMC4" -1.02562532526676 5.55004474895541e-14 -0.657660747720047 7.82209969010942e-05 NA NA NA NA NA NA NA NA
"XRCC5" -0.380797141440335 5.93357235811866e-14 -0.242249908132763 0.00010307128081324 NA NA NA NA NA NA NA NA
"MKI67" -1.32531926771506 6.02797764262128e-14 -0.849786056377644 7.85737018776109e-05 NA NA NA NA NA NA NA NA
"HMGB1" -0.61338853072364 6.27083608858722e-14 -0.475103113576405 2.71005520072925e-07 NA NA NA NA NA NA NA NA
"NCAPD2" -0.888965973541444 6.27083608858722e-14 -0.546324747125549 0.00021901732821627 NA NA NA NA NA NA NA NA
"IL18R1" 1.38677720946084 7.57594411990707e-14 NA NA 0.829633226966136 0.00153942598000747 NA NA NA NA NA NA
"C10orf140" -2.38584499252984 7.59636590982432e-14 -1.85755502939964 3.82856286527955e-07 NA NA NA NA NA NA NA NA
"CAND1" -0.486935939989247 7.65982311939403e-14 -0.321417742767294 4.8144333698778e-05 NA NA NA NA NA NA NA NA
"ITSN1" -0.735960601960179 9.59786503892624e-14 -0.39240850683843 0.0034764271318483 NA NA NA NA NA NA NA NA
"COBLL1" 0.983739237475656 1.15661903165149e-13 0.692093186087356 7.65380869260013e-06 NA NA NA NA NA NA NA NA
"SMO" -0.831007355745704 1.2036091723004e-13 -0.650313471653547 7.00077121353509e-07 NA NA NA NA NA NA NA NA
"NPAS3" -1.56269356793848 1.20859574218563e-13 -1.05842684066762 4.05432166200506e-05 NA NA NA NA NA NA NA NA
"MTRNR2L2" 1.37283662027948 1.23637871967555e-13 1.49620087944636 1.19687720370287e-14 NA NA NA NA NA NA NA NA
"NDC80" -1.19738105440697 1.34902787743837e-13 -0.636697809065808 0.00381924306167205 NA NA NA NA NA NA NA NA
"CENPF" -1.17769550221327 1.35941283837982e-13 -0.747547957640802 0.000135092157478561 NA NA NA NA NA NA NA NA
"CDC42EP1" 1.1458916248056 1.46636333015677e-13 NA NA NA NA 0.767257426656437 5.4654203898212e-05 NA NA NA NA
"DNM3" -1.08010748156917 1.60902896314852e-13 -0.863331249310498 3.75813644555021e-07 NA NA NA NA NA NA NA NA
"EIF1" 0.855412326598073 1.69952411697168e-13 0.443208767064228 0.00491306111964596 NA NA NA NA NA NA NA NA
"PSRC1" -1.27715218385078 2.14671490001398e-13 -0.758898374050666 0.000831002854365593 NA NA NA NA NA NA NA NA
"PLK1" -1.16846832364074 2.17110781469013e-13 -0.772985345396908 6.57909447553496e-05 NA NA NA NA NA NA NA NA
"SQSTM1" 1.15974155920021 2.26991936542658e-13 NA NA 0.733947510940708 0.000351329893650893 NA NA NA NA NA NA
"CCDC146" -2.4302686046536 2.90939510803756e-13 -1.3225920252184 0.0038613682451308 NA NA NA NA NA NA NA NA
"C2orf18" 0.796094310138131 3.21105027735959e-13 0.450652495304316 0.00146201679258935 NA NA NA NA NA NA NA NA
"ZNF768" 0.702612051051484 3.53180585209047e-13 0.410919118661487 0.000930521823228069 NA NA NA NA NA NA NA NA
"HIST1H2BK" -0.753941289621735 3.55978453100451e-13 -0.523470151800617 2.38325501641038e-05 NA NA NA NA NA NA NA NA
"INHBE" 3.54891301436715 4.34860948641969e-13 NA NA 2.80857837588627 7.47466439897109e-07 4.18017235255975 7.63911416560813e-13 NA NA NA NA
"TCEA1" 1.21956842132918 4.51010323512875e-13 NA NA NA NA NA NA NA NA NA NA
"LBH" -1.16459108267603 4.74135362109146e-13 -0.671726352837119 0.00167558878688628 NA NA NA NA NA NA NA NA
"PLIN4" 1.31479532658998 5.15975070149824e-13 NA NA 0.800468460199392 0.00201308277548719 NA NA NA NA NA NA
"MGLL" 1.67358850119005 5.22575134764694e-13 0.9872768133408 0.000488231627675283 NA NA NA NA NA NA NA NA
"PROSER1" 0.750596873788053 5.39145199662714e-13 0.4337477917011 0.00124256320835439 NA NA NA NA NA NA NA NA
"LIX1" -2.03909150238632 5.81575366854273e-13 -1.57372668785551 1.56704221223511e-06 NA NA NA NA NA NA NA NA
"SLC16A5" 1.46653674387962 5.86658764436582e-13 NA NA NA NA 0.867174078927299 0.00529454459704277 NA NA NA NA
"ASPM" -1.46244876208186 6.71550424540974e-13 -0.922974279629904 0.000282106120162175 NA NA NA NA NA NA NA NA
"SERPINE2" 1.88988137718363 7.90771206930311e-13 NA NA NA NA NA NA NA NA NA NA
"KLHL35" 1.02718236145392 8.06479920475531e-13 0.554211949417141 0.00345596893081476 NA NA NA NA NA NA NA NA
"LARP6" 1.71925918676047 9.29866571607767e-13 NA NA NA NA NA NA NA NA NA NA
"STIM1" 0.531244725334964 9.55059664437026e-13 0.323348786469549 0.000641105380768206 NA NA NA NA NA NA NA NA
"ETV5" 1.56475206270803 9.64929843809399e-13 NA NA 1.19803642933586 3.58303037166499e-06 0.850388296075048 0.00761768709678642 NA NA NA NA
"RBCK1" 1.44507342370892 1.05569502493684e-12 NA NA NA NA NA NA NA NA NA NA
"LMO4" 0.858224309976067 1.22200329003769e-12 NA NA 0.556418943235261 0.000396785084050449 0.640172429653461 7.05787032933654e-06 NA NA NA NA
"CEACAM19" 1.39428772188306 1.29724605946744e-12 0.978506182509867 2.01311634353234e-05 NA NA NA NA NA NA NA NA
"DAG1" -0.618404089565526 1.31803162549963e-12 -0.423029161468047 5.74891503481808e-05 NA NA NA NA NA NA NA NA
